id,title,description,category,priority,status,created_at
245,Password reset request,I forgot my password and need to reset it. Has been happening since yesterday.,account,low,in_progress,2025-11-12 17:13:40
246,WiFi connection problems,Cannot connect to WiFi in conference room B. Has been happening since yesterday.,network,low,open,2025-08-31 17:13:40
247,System down: Access permission needed,Need access to the shared drive for marketing team. Has been happening since yesterday.,account,high,open,2025-10-19 17:13:40
248,High priority: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location.,security,medium,in_progress,2025-09-30 17:13:40
249,Need help: Password reset request,I forgot my password and need to reset it.,account,medium,resolved,2025-10-31 17:13:40
250,Software installation error,Cannot install the updated version of Adobe Reader. Please help urgently.,software,low,resolved,2025-10-22 17:13:40
251,Important: Browser performance issues,Chrome browser is very slow and unresponsive. Has been happening since yesterday.,software,medium,resolved,2025-10-27 17:13:40
252,Email account issues,"Cannot access my email account, shows invalid credentials.",account,low,open,2025-10-25 17:13:40
253,Important: Network printer offline,Network printer is showing offline status. Has been happening since yesterday.,network,medium,resolved,2025-10-12 17:13:40
254,Major issue: Email client not syncing,Outlook is not syncing my emails properly. Multiple users are reporting this issue.,software,high,open,2025-09-20 17:13:40
255,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Has been happening since yesterday.,security,low,open,2025-10-10 17:13:40
256,Important: VPN not working,VPN connection keeps dropping every few minutes. This is affecting my work.,network,medium,in_progress,2025-10-08 17:13:40
257,High priority: Malware detected,Antivirus detected malware on my computer. Please help urgently.,security,medium,open,2025-10-05 17:13:40
258,Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,low,open,2025-11-06 17:13:40
259,High priority: New user account setup,New employee needs account setup for all systems. Multiple users are reporting this issue.,account,medium,open,2025-10-07 17:13:40
260,System down: Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,high,open,2025-10-12 17:13:40
261,Mouse not responding,Wireless mouse is not connecting to my computer. Has been happening since yesterday.,hardware,low,resolved,2025-10-24 17:13:40
262,Network printer offline,Network printer is showing offline status. This is affecting my work.,network,low,open,2025-09-24 17:13:40
263,Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,low,resolved,2025-11-10 17:13:40
264,Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,low,open,2025-09-23 17:13:40
265,URGENT: Software license expired,AutoCAD showing license expired message. This is affecting my work.,software,high,open,2025-11-06 17:13:40
266,Password reset request,I forgot my password and need to reset it. This is affecting my work.,account,low,in_progress,2025-11-04 17:13:40
267,Important: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,medium,open,2025-11-15 17:13:40
268,Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,low,in_progress,2025-09-02 17:13:40
269,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,open,2025-10-04 17:13:40
270,EMERGENCY: Browser performance issues,Chrome browser is very slow and unresponsive.,software,high,open,2025-10-27 17:13:40
271,High priority: Email client not syncing,Outlook is not syncing my emails properly. This is affecting my work.,software,medium,open,2025-10-28 17:13:40
272,New user account setup,New employee needs account setup for all systems. Multiple users are reporting this issue.,account,low,open,2025-11-06 17:13:40
273,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,open,2025-10-26 17:13:40
274,Security certificate error,Getting security certificate error on company website. Please help urgently.,security,low,in_progress,2025-11-09 17:13:40
275,Software installation error,Cannot install the updated version of Adobe Reader. This is affecting my work.,software,low,in_progress,2025-11-09 17:13:40
276,High priority: Laptop screen flickering,My laptop screen keeps flickering and going black. Multiple users are reporting this issue.,hardware,medium,open,2025-09-01 17:13:40
277,High priority: Mouse not responding,Wireless mouse is not connecting to my computer. This is affecting my work.,hardware,medium,open,2025-10-27 17:13:40
278,Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,low,open,2025-08-28 17:13:40
279,Email account issues,"Cannot access my email account, shows invalid credentials.",account,low,resolved,2025-09-26 17:13:40
280,Password reset request,I forgot my password and need to reset it. Please help urgently.,account,low,open,2025-11-07 17:13:40
281,Important: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location.,security,medium,resolved,2025-09-22 17:13:40
282,Important: Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,medium,open,2025-11-14 17:13:40
283,Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,low,open,2025-09-20 17:13:40
284,Need help: VPN not working,VPN connection keeps dropping every few minutes. Please help urgently.,network,medium,resolved,2025-11-03 17:13:40
285,Need help: Malware detected,Antivirus detected malware on my computer. Multiple users are reporting this issue.,security,medium,resolved,2025-09-30 17:13:40
286,High priority: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,in_progress,2025-10-10 17:13:40
287,High priority: Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,medium,open,2025-10-11 17:13:40
288,Need help: Network printer offline,Network printer is showing offline status. Multiple users are reporting this issue.,network,medium,resolved,2025-10-29 17:13:40
289,Application crashing,Microsoft Excel crashes every time I open large files. Please help urgently.,software,low,open,2025-10-16 17:13:40
290,Important: Laptop screen flickering,My laptop screen keeps flickering and going black.,hardware,medium,open,2025-10-06 17:13:40
291,Browser performance issues,Chrome browser is very slow and unresponsive. This is affecting my work.,software,low,open,2025-08-27 17:13:40
292,Network printer offline,Network printer is showing offline status. This is affecting my work.,network,low,open,2025-11-04 17:13:40
293,Important: Email account issues,"Cannot access my email account, shows invalid credentials. This is affecting my work.",account,medium,in_progress,2025-09-23 17:13:40
294,VPN not working,VPN connection keeps dropping every few minutes. Multiple users are reporting this issue.,network,low,in_progress,2025-09-18 17:13:40
295,Printer paper jam,Office printer has a paper jam that I cannot clear. Please help urgently.,hardware,low,in_progress,2025-11-01 17:13:40
296,Malware detected,Antivirus detected malware on my computer. Please help urgently.,security,low,in_progress,2025-11-01 17:13:40
297,Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,low,resolved,2025-11-07 17:13:40
298,Major issue: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,high,in_progress,2025-08-25 17:13:40
299,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,in_progress,2025-09-30 17:13:40
300,VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,low,in_progress,2025-11-02 17:13:40
301,Important: Laptop screen flickering,My laptop screen keeps flickering and going black. Has been happening since yesterday.,hardware,medium,open,2025-11-13 17:13:40
302,High priority: Browser performance issues,Chrome browser is very slow and unresponsive. Multiple users are reporting this issue.,software,medium,resolved,2025-09-15 17:13:40
303,Password reset request,I forgot my password and need to reset it.,account,low,in_progress,2025-10-15 17:13:40
304,Need help: Printer paper jam,Office printer has a paper jam that I cannot clear. Please help urgently.,hardware,medium,open,2025-08-29 17:13:40
305,EMERGENCY: Software installation error,Cannot install the updated version of Adobe Reader. Multiple users are reporting this issue.,software,high,open,2025-08-26 17:13:40
306,System down: Software installation error,Cannot install the updated version of Adobe Reader. This is affecting my work.,software,high,open,2025-08-23 17:13:40
307,Software installation error,Cannot install the updated version of Adobe Reader. Please help urgently.,software,low,in_progress,2025-09-14 17:13:40
308,URGENT: Browser performance issues,Chrome browser is very slow and unresponsive. Has been happening since yesterday.,software,high,resolved,2025-09-14 17:13:40
309,System down: Password reset request,I forgot my password and need to reset it. Multiple users are reporting this issue.,account,high,open,2025-10-06 17:13:40
310,Need help: Software installation error,Cannot install the updated version of Adobe Reader. Multiple users are reporting this issue.,software,medium,open,2025-09-19 17:13:40
311,Important: Printer paper jam,Office printer has a paper jam that I cannot clear. Multiple users are reporting this issue.,hardware,medium,open,2025-10-04 17:13:40
312,High priority: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,medium,open,2025-11-03 17:13:40
313,Printer paper jam,Office printer has a paper jam that I cannot clear.,hardware,low,open,2025-09-18 17:13:40
314,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Multiple users are reporting this issue.",security,low,resolved,2025-09-14 17:13:40
315,Email account issues,"Cannot access my email account, shows invalid credentials. This is affecting my work.",account,low,open,2025-09-18 17:13:40
316,High priority: Account locked out,My account has been locked after multiple login attempts. Multiple users are reporting this issue.,account,medium,in_progress,2025-09-19 17:13:40
317,Important: Laptop screen flickering,My laptop screen keeps flickering and going black.,hardware,medium,in_progress,2025-09-02 17:13:40
318,Major issue: Network connectivity issues,Unable to connect to the office network from my laptop.,network,high,resolved,2025-09-29 17:13:40
319,Need help: Security certificate error,Getting security certificate error on company website.,security,medium,in_progress,2025-11-17 17:13:40
320,Important: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,medium,open,2025-10-17 17:13:40
321,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location.,security,low,in_progress,2025-10-01 17:13:40
322,Important: Software installation error,Cannot install the updated version of Adobe Reader.,software,medium,resolved,2025-10-17 17:13:40
323,URGENT: Software license expired,AutoCAD showing license expired message. Multiple users are reporting this issue.,software,high,open,2025-11-17 17:13:40
324,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,resolved,2025-10-15 17:13:40
325,Mouse not responding,Wireless mouse is not connecting to my computer. Multiple users are reporting this issue.,hardware,low,open,2025-10-20 17:13:40
326,New user account setup,New employee needs account setup for all systems. Has been happening since yesterday.,account,low,in_progress,2025-11-09 17:13:40
327,Network connectivity issues,Unable to connect to the office network from my laptop. Has been happening since yesterday.,network,low,open,2025-10-06 17:13:40
328,CRITICAL: Email client not syncing,Outlook is not syncing my emails properly. Multiple users are reporting this issue.,software,high,resolved,2025-10-24 17:13:40
329,Security certificate error,Getting security certificate error on company website.,security,low,resolved,2025-08-24 17:13:40
330,High priority: Network connectivity issues,Unable to connect to the office network from my laptop.,network,medium,resolved,2025-09-20 17:13:40
331,Suspicious email received,Received a phishing email claiming to be from IT. Multiple users are reporting this issue.,security,low,open,2025-10-08 17:13:40
332,Email client not syncing,Outlook is not syncing my emails properly. Multiple users are reporting this issue.,software,low,resolved,2025-11-19 17:13:40
333,Keyboard keys not working,Several keys on my keyboard have stopped responding. Please help urgently.,hardware,low,open,2025-10-18 17:13:40
334,Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,low,open,2025-09-24 17:13:40
335,Access permission needed,Need access to the shared drive for marketing team.,account,low,open,2025-08-25 17:13:40
336,Network connectivity issues,Unable to connect to the office network from my laptop. This is affecting my work.,network,low,resolved,2025-09-21 17:13:40
337,Slow internet speed,"Internet is extremely slow, pages take forever to load. Has been happening since yesterday.",network,low,open,2025-08-25 17:13:40
338,High priority: Application crashing,Microsoft Excel crashes every time I open large files. Please help urgently.,software,medium,open,2025-11-02 17:13:40
339,Network printer offline,Network printer is showing offline status. Multiple users are reporting this issue.,network,low,open,2025-10-18 17:13:40
340,Software installation error,Cannot install the updated version of Adobe Reader. Has been happening since yesterday.,software,low,in_progress,2025-08-31 17:13:40
341,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,open,2025-10-26 17:13:40
342,Slow internet speed,"Internet is extremely slow, pages take forever to load. Multiple users are reporting this issue.",network,low,open,2025-10-25 17:13:40
343,Need help: Security certificate error,Getting security certificate error on company website. Has been happening since yesterday.,security,medium,in_progress,2025-09-27 17:13:40
344,EMERGENCY: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,high,open,2025-10-24 17:13:40
345,Password reset request,I forgot my password and need to reset it. Has been happening since yesterday.,account,low,resolved,2025-10-18 17:13:40
346,Laptop screen flickering,My laptop screen keeps flickering and going black. Multiple users are reporting this issue.,hardware,low,open,2025-09-03 17:13:40
347,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,open,2025-09-13 17:13:40
348,Important: Password reset request,I forgot my password and need to reset it.,account,medium,in_progress,2025-09-18 17:13:40
349,Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,low,open,2025-11-19 17:13:40
350,Printer paper jam,Office printer has a paper jam that I cannot clear. Has been happening since yesterday.,hardware,low,in_progress,2025-10-11 17:13:40
351,Monitor display issues,Second monitor is not being detected by my computer. Multiple users are reporting this issue.,hardware,low,in_progress,2025-11-14 17:13:40
352,Important: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Multiple users are reporting this issue.,security,medium,resolved,2025-11-20 17:13:40
353,Need help: Application crashing,Microsoft Excel crashes every time I open large files. Please help urgently.,software,medium,open,2025-11-03 17:13:40
354,Need help: Application crashing,Microsoft Excel crashes every time I open large files.,software,medium,open,2025-09-02 17:13:40
355,Printer paper jam,Office printer has a paper jam that I cannot clear. Multiple users are reporting this issue.,hardware,low,in_progress,2025-11-02 17:13:40
356,WiFi connection problems,Cannot connect to WiFi in conference room B.,network,low,open,2025-10-05 17:13:40
357,Important: Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,medium,open,2025-10-12 17:13:40
358,Slow internet speed,"Internet is extremely slow, pages take forever to load. Multiple users are reporting this issue.",network,low,open,2025-09-20 17:13:40
359,New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,low,resolved,2025-11-18 17:13:40
360,Important: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,open,2025-09-06 17:13:40
361,System down: Laptop screen flickering,My laptop screen keeps flickering and going black.,hardware,high,open,2025-11-03 17:13:40
362,Need help: Email account issues,"Cannot access my email account, shows invalid credentials. Multiple users are reporting this issue.",account,medium,in_progress,2025-10-24 17:13:40
363,Suspicious email received,Received a phishing email claiming to be from IT.,security,low,open,2025-09-15 17:13:40
364,Access permission needed,Need access to the shared drive for marketing team. Has been happening since yesterday.,account,low,open,2025-10-11 17:13:40
365,Monitor display issues,Second monitor is not being detected by my computer.,hardware,low,open,2025-09-15 17:13:40
366,Password reset request,I forgot my password and need to reset it.,account,low,in_progress,2025-10-28 17:13:40
367,Major issue: Mouse not responding,Wireless mouse is not connecting to my computer.,hardware,high,open,2025-11-19 17:13:40
368,Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,low,in_progress,2025-10-13 17:13:40
369,High priority: Mouse not responding,Wireless mouse is not connecting to my computer. Please help urgently.,hardware,medium,in_progress,2025-10-24 17:13:40
370,Important: Mouse not responding,Wireless mouse is not connecting to my computer. Has been happening since yesterday.,hardware,medium,in_progress,2025-09-02 17:13:40
371,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,in_progress,2025-10-13 17:13:40
372,Major issue: Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,high,open,2025-10-03 17:13:40
373,Need help: Keyboard keys not working,Several keys on my keyboard have stopped responding. This is affecting my work.,hardware,medium,resolved,2025-09-18 17:13:40
374,Network printer offline,Network printer is showing offline status. Please help urgently.,network,low,open,2025-09-16 17:13:40
375,Printer paper jam,Office printer has a paper jam that I cannot clear. Has been happening since yesterday.,hardware,low,open,2025-09-19 17:13:40
376,Password reset request,I forgot my password and need to reset it. This is affecting my work.,account,low,open,2025-10-25 17:13:40
377,Email client not syncing,Outlook is not syncing my emails properly.,software,low,open,2025-10-26 17:13:40
378,High priority: Email client not syncing,Outlook is not syncing my emails properly.,software,medium,open,2025-11-05 17:13:40
379,Need help: New user account setup,New employee needs account setup for all systems.,account,medium,open,2025-11-05 17:13:40
380,Mouse not responding,Wireless mouse is not connecting to my computer. Please help urgently.,hardware,low,open,2025-11-14 17:13:40
381,Important: Mouse not responding,Wireless mouse is not connecting to my computer. This is affecting my work.,hardware,medium,open,2025-08-28 17:13:40
382,Important: Slow internet speed,"Internet is extremely slow, pages take forever to load. Multiple users are reporting this issue.",network,medium,open,2025-10-22 17:13:40
383,High priority: New user account setup,New employee needs account setup for all systems. Please help urgently.,account,medium,resolved,2025-10-24 17:13:40
384,System down: VPN not working,VPN connection keeps dropping every few minutes. Please help urgently.,network,high,resolved,2025-10-02 17:13:40
385,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Please help urgently.,security,low,open,2025-11-10 17:13:40
386,Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,low,in_progress,2025-09-18 17:13:40
387,WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,low,in_progress,2025-11-09 17:13:40
388,Major issue: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,high,open,2025-10-01 17:13:40
389,High priority: Monitor display issues,Second monitor is not being detected by my computer. Has been happening since yesterday.,hardware,medium,in_progress,2025-09-27 17:13:40
390,Important: WiFi connection problems,Cannot connect to WiFi in conference room B. Please help urgently.,network,medium,open,2025-11-08 17:13:40
391,Password reset request,I forgot my password and need to reset it. Multiple users are reporting this issue.,account,low,open,2025-10-15 17:13:40
392,Malware detected,Antivirus detected malware on my computer.,security,low,resolved,2025-08-29 17:13:40
393,Major issue: Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,high,open,2025-10-26 17:13:40
394,Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,low,resolved,2025-09-04 17:13:40
395,Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,low,open,2025-10-01 17:13:40
396,Printer paper jam,Office printer has a paper jam that I cannot clear. Please help urgently.,hardware,low,open,2025-09-21 17:13:40
397,Monitor display issues,Second monitor is not being detected by my computer. Multiple users are reporting this issue.,hardware,low,open,2025-10-03 17:13:40
398,Important: Application crashing,Microsoft Excel crashes every time I open large files.,software,medium,in_progress,2025-09-08 17:13:40
399,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. This is affecting my work.,security,low,open,2025-08-23 17:13:40
400,Need help: Account locked out,My account has been locked after multiple login attempts. Please help urgently.,account,medium,resolved,2025-11-19 17:13:40
401,WiFi connection problems,Cannot connect to WiFi in conference room B. Please help urgently.,network,low,resolved,2025-11-19 17:13:40
402,Account locked out,My account has been locked after multiple login attempts. Multiple users are reporting this issue.,account,low,open,2025-09-03 17:13:40
403,Major issue: Password reset request,I forgot my password and need to reset it. Multiple users are reporting this issue.,account,high,open,2025-11-14 17:13:40
404,New user account setup,New employee needs account setup for all systems. Please help urgently.,account,low,in_progress,2025-11-10 17:13:40
405,Password reset request,I forgot my password and need to reset it. Has been happening since yesterday.,account,low,open,2025-09-11 17:13:40
406,Need help: Application crashing,Microsoft Excel crashes every time I open large files. Multiple users are reporting this issue.,software,medium,open,2025-11-01 17:13:40
407,Password reset request,I forgot my password and need to reset it. Has been happening since yesterday.,account,low,open,2025-08-24 17:13:40
408,Malware detected,Antivirus detected malware on my computer. Has been happening since yesterday.,security,low,open,2025-11-11 17:13:40
409,CRITICAL: Software license expired,AutoCAD showing license expired message. Multiple users are reporting this issue.,software,high,in_progress,2025-10-16 17:13:40
410,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,low,in_progress,2025-09-16 17:13:40
411,Important: Password reset request,I forgot my password and need to reset it. Multiple users are reporting this issue.,account,medium,open,2025-09-11 17:13:40
412,Security certificate error,Getting security certificate error on company website. This is affecting my work.,security,low,open,2025-09-17 17:13:40
413,Need help: Network connectivity issues,Unable to connect to the office network from my laptop. This is affecting my work.,network,medium,open,2025-11-16 17:13:40
414,WiFi connection problems,Cannot connect to WiFi in conference room B. Please help urgently.,network,low,open,2025-09-09 17:13:40
415,Malware detected,Antivirus detected malware on my computer. This is affecting my work.,security,low,resolved,2025-11-05 17:13:40
416,Keyboard keys not working,Several keys on my keyboard have stopped responding. Please help urgently.,hardware,low,open,2025-10-09 17:13:40
417,Security certificate error,Getting security certificate error on company website. This is affecting my work.,security,low,open,2025-09-17 17:13:40
418,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. This is affecting my work.,security,low,open,2025-08-22 17:13:40
419,Network printer offline,Network printer is showing offline status. Please help urgently.,network,low,in_progress,2025-08-29 17:13:40
420,Email client not syncing,Outlook is not syncing my emails properly. Has been happening since yesterday.,software,low,open,2025-11-12 17:13:40
421,Keyboard keys not working,Several keys on my keyboard have stopped responding. Please help urgently.,hardware,low,in_progress,2025-08-25 17:13:40
422,Security certificate error,Getting security certificate error on company website. Has been happening since yesterday.,security,low,resolved,2025-11-06 17:13:40
423,High priority: Malware detected,Antivirus detected malware on my computer.,security,medium,open,2025-08-24 17:13:40
424,Keyboard keys not working,Several keys on my keyboard have stopped responding. Multiple users are reporting this issue.,hardware,low,in_progress,2025-10-30 17:13:40
425,System down: Suspicious email received,Received a phishing email claiming to be from IT. This is affecting my work.,security,high,open,2025-10-17 17:13:40
426,Need help: Data breach concern,"Concerned about potential data breach, unusual activity noticed.",security,medium,in_progress,2025-11-17 17:13:40
427,System down: Data breach concern,"Concerned about potential data breach, unusual activity noticed. This is affecting my work.",security,high,open,2025-10-14 17:13:40
428,Need help: Monitor display issues,Second monitor is not being detected by my computer. Please help urgently.,hardware,medium,open,2025-09-23 17:13:40
429,High priority: New user account setup,New employee needs account setup for all systems.,account,medium,open,2025-09-05 17:13:40
430,Major issue: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,high,open,2025-09-29 17:13:40
431,Monitor display issues,Second monitor is not being detected by my computer. This is affecting my work.,hardware,low,resolved,2025-11-04 17:13:40
432,Account locked out,My account has been locked after multiple login attempts. This is affecting my work.,account,low,open,2025-09-13 17:13:40
433,Important: New user account setup,New employee needs account setup for all systems.,account,medium,open,2025-11-14 17:13:40
434,Access permission needed,Need access to the shared drive for marketing team. Multiple users are reporting this issue.,account,low,open,2025-09-16 17:13:40
435,WiFi connection problems,Cannot connect to WiFi in conference room B.,network,low,open,2025-09-13 17:13:40
436,VPN not working,VPN connection keeps dropping every few minutes. Please help urgently.,network,low,open,2025-11-01 17:13:40
437,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Please help urgently.,security,low,resolved,2025-09-18 17:13:40
438,URGENT: Browser performance issues,Chrome browser is very slow and unresponsive.,software,high,open,2025-08-30 17:13:40
439,Slow internet speed,"Internet is extremely slow, pages take forever to load. This is affecting my work.",network,low,open,2025-09-16 17:13:40
440,Browser performance issues,Chrome browser is very slow and unresponsive. Please help urgently.,software,low,open,2025-11-03 17:13:40
441,Password reset request,I forgot my password and need to reset it. Please help urgently.,account,low,open,2025-08-25 17:13:40
442,WiFi connection problems,Cannot connect to WiFi in conference room B.,network,low,open,2025-11-06 17:13:40
443,WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,low,open,2025-09-20 17:13:40
444,Laptop screen flickering,My laptop screen keeps flickering and going black. Please help urgently.,hardware,low,in_progress,2025-09-20 17:13:40
445,Need help: Security certificate error,Getting security certificate error on company website. Has been happening since yesterday.,security,medium,open,2025-09-25 17:13:40
446,Network connectivity issues,Unable to connect to the office network from my laptop. Multiple users are reporting this issue.,network,low,open,2025-09-10 17:13:40
447,Keyboard keys not working,Several keys on my keyboard have stopped responding. Multiple users are reporting this issue.,hardware,low,open,2025-11-01 17:13:40
448,Security certificate error,Getting security certificate error on company website.,security,low,resolved,2025-09-06 17:13:40
449,High priority: Network printer offline,Network printer is showing offline status. Please help urgently.,network,medium,open,2025-10-06 17:13:40
450,Keyboard keys not working,Several keys on my keyboard have stopped responding.,hardware,low,open,2025-10-07 17:13:40
451,System down: WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,high,open,2025-11-04 17:13:40
452,CRITICAL: Email account issues,"Cannot access my email account, shows invalid credentials. Has been happening since yesterday.",account,high,open,2025-09-17 17:13:40
453,High priority: Slow internet speed,"Internet is extremely slow, pages take forever to load. Has been happening since yesterday.",network,medium,open,2025-09-15 17:13:40
454,Software installation error,Cannot install the updated version of Adobe Reader. Multiple users are reporting this issue.,software,low,resolved,2025-10-27 17:13:40
455,Important: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Has been happening since yesterday.,security,medium,open,2025-10-20 17:13:40
456,EMERGENCY: Account locked out,My account has been locked after multiple login attempts. This is affecting my work.,account,high,open,2025-09-28 17:13:40
457,Email client not syncing,Outlook is not syncing my emails properly. Has been happening since yesterday.,software,low,open,2025-08-27 17:13:40
458,URGENT: Slow internet speed,"Internet is extremely slow, pages take forever to load. Has been happening since yesterday.",network,high,in_progress,2025-10-04 17:13:40
459,Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. Please help urgently.,security,low,resolved,2025-11-14 17:13:40
460,Email client not syncing,Outlook is not syncing my emails properly. Please help urgently.,software,low,in_progress,2025-10-14 17:13:40
461,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,low,resolved,2025-11-14 17:13:40
462,Email client not syncing,Outlook is not syncing my emails properly. Has been happening since yesterday.,software,low,resolved,2025-11-13 17:13:40
463,New user account setup,New employee needs account setup for all systems. Multiple users are reporting this issue.,account,low,resolved,2025-10-02 17:13:40
464,Important: Suspicious email received,Received a phishing email claiming to be from IT. This is affecting my work.,security,medium,open,2025-08-29 17:13:40
465,Mouse not responding,Wireless mouse is not connecting to my computer. This is affecting my work.,hardware,low,resolved,2025-11-15 17:13:40
466,Slow internet speed,"Internet is extremely slow, pages take forever to load. Please help urgently.",network,low,open,2025-11-18 17:13:40
467,VPN not working,VPN connection keeps dropping every few minutes. Has been happening since yesterday.,network,low,open,2025-09-26 17:13:40
468,Major issue: Application crashing,Microsoft Excel crashes every time I open large files. This is affecting my work.,software,high,open,2025-08-27 17:13:40
469,Need help: New user account setup,New employee needs account setup for all systems. This is affecting my work.,account,medium,open,2025-08-28 17:13:40
470,Password reset request,I forgot my password and need to reset it. Multiple users are reporting this issue.,account,low,resolved,2025-09-09 17:13:40
471,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,open,2025-08-24 17:13:40
472,High priority: Unauthorized access attempt,Multiple failed login attempts on my account from unknown location. This is affecting my work.,security,medium,open,2025-10-27 17:13:40
473,Application crashing,Microsoft Excel crashes every time I open large files. Has been happening since yesterday.,software,low,open,2025-09-16 17:13:40
474,System down: Account locked out,My account has been locked after multiple login attempts. Has been happening since yesterday.,account,high,resolved,2025-10-06 17:13:40
475,Browser performance issues,Chrome browser is very slow and unresponsive.,software,low,open,2025-08-28 17:13:40
476,Data breach concern,"Concerned about potential data breach, unusual activity noticed. Please help urgently.",security,low,open,2025-09-03 17:13:40
477,Network printer offline,Network printer is showing offline status. This is affecting my work.,network,low,open,2025-11-07 17:13:40
478,High priority: Keyboard keys not working,Several keys on my keyboard have stopped responding. Multiple users are reporting this issue.,hardware,medium,open,2025-10-17 17:13:40
479,URGENT: Laptop screen flickering,My laptop screen keeps flickering and going black. This is affecting my work.,hardware,high,resolved,2025-10-03 17:13:40
480,Network printer offline,Network printer is showing offline status. Has been happening since yesterday.,network,low,open,2025-10-26 17:13:40
481,Network connectivity issues,Unable to connect to the office network from my laptop. Multiple users are reporting this issue.,network,low,in_progress,2025-10-31 17:13:40
482,Software installation error,Cannot install the updated version of Adobe Reader. Multiple users are reporting this issue.,software,low,open,2025-09-22 17:13:40
483,High priority: Data breach concern,"Concerned about potential data breach, unusual activity noticed. Has been happening since yesterday.",security,medium,open,2025-09-22 17:13:40
484,WiFi connection problems,Cannot connect to WiFi in conference room B. Please help urgently.,network,low,open,2025-10-03 17:13:40
485,Important: Password reset request,I forgot my password and need to reset it.,account,medium,resolved,2025-09-23 17:13:40
486,New user account setup,New employee needs account setup for all systems.,account,low,in_progress,2025-10-27 17:13:40
487,High priority: WiFi connection problems,Cannot connect to WiFi in conference room B. Multiple users are reporting this issue.,network,medium,open,2025-11-18 17:13:40
488,Software installation error,Cannot install the updated version of Adobe Reader. Has been happening since yesterday.,software,low,open,2025-11-09 17:13:40
489,URGENT: Printer paper jam,Office printer has a paper jam that I cannot clear.,hardware,high,open,2025-11-04 17:13:40
490,Suspicious email received,Received a phishing email claiming to be from IT. Please help urgently.,security,low,resolved,2025-10-07 17:13:40
